2017-09-15 11:30:41:824;	-0.03726951004876473;	0.013081432624769565;	0.00576237846153823;	-0.000651855468749997;	-0.0033017578125000002;	0.99506689453125
2017-09-15 11:30:41:884;	-0.03870686697001454;	0.013860108810632096;	0.005727981538461286;	0.004230957031250003;	-0.0042783203125;	0.99921728515625
2017-09-15 11:30:41:936;	-0.0318103751382879;	0.024303270224858856;	0.005001106923076656;	-0.002849121093749997;	-0.0013486328125000002;	1.00239111328125
2017-09-15 11:30:41:996;	-0.03323644632742189;	0.018297637831037824;	0.007069940769230483;	-0.000895996093749997;	-0.00012792968750000022;	0.99897314453125
2017-09-15 11:30:42:054;	-0.030890083513472024;	-0.014553719713824792;	0.010340620769230464;	0.005207519531250003;	-0.0020810546875000002;	1.00702978515625
2017-09-15 11:30:42:105;	-0.02343316571358083;	-0.005630582140703595;	0.00941343846153814;	-0.002360839843749997;	-0.0013486328125000002;	1.00141455078125
2017-09-15 11:30:42:157;	-0.018962035146116725;	0.0009536735150861338;	0.010990102307691969;	0.00032470703125000305;	0.0006044921874999998;	1.00727392578125
2017-09-15 11:30:42:210;	-0.012822734154064399;	0.00970207865372347;	0.014269381538461183;	-0.001872558593749997;	-0.00012792968750000022;	1.00165869140625
2017-09-15 11:30:42:263;	-0.0025493402378387077;	0.029166011476744302;	0.013442353076922701;	-0.005290527343749997;	0.0013369140624999998;	1.00556494140625
2017-09-15 11:30:42:318;	0.006443347464121224;	0.02195236690903494;	0.014818709230768837;	-0.002116699218749997;	0.00011621093749999978;	0.99628759765625
2017-09-15 11:30:42:371;	0.0036601963140457435;	0.011366058700984326;	0.013991680769230363;	0.003742675781250003;	-0.0011044921875000002;	1.00751806640625
2017-09-15 11:30:42:425;	-0.001907050394490323;	0.006375470597428718;	0.015568344615384193;	0.006428222656250003;	-0.0045224609375;	0.99067236328125
2017-09-15 11:30:42:478;	0.010673629626871755;	0.003032775829908669;	0.015442393076922635;	0.003010253906250003;	-0.0008603515625000002;	0.99799658203125
2017-09-15 11:30:42:531;	0.019642011792131653;	-0.004296338083174061;	0.015416595384614925;	0.002277832031250003;	-0.0013486328125000002;	0.99702001953125
2017-09-15 11:30:42:584;	0.011910623572275434;	-0.004991888895104478;	0.016893105384614908;	-0.00040771484374999695;	-0.0013486328125000002;	0.99726416015625
2017-09-15 11:30:42:641;	0.0025735122802025617;	-0.0012891335627655631;	0.015264846153845657;	0.002277832031250003;	-0.0050107421875;	1.00263525390625
2017-09-15 11:30:42:694;	0.0029824172906105003;	-0.003657333273581178;	0.015038740769230254;	-0.00016357421874999695;	-0.0011044921875000002;	1.01386572265625
2017-09-15 11:30:42:757;	0.007564829288492553;	-0.016870454035774925;	0.01270080538461485;	-0.001628417968749997;	-0.0047666015625;	1.00068212890625
2017-09-15 11:30:42:815;	0.017150589367086584;	-0.022585557449645487;	0.013467639230768672;	-0.000895996093749997;	0.0057314453125;	0.99482275390625
2017-09-15 11:30:42:873;	0.010149850846515122;	-0.023137825190655492;	0.01333308846153788;	-0.002116699218749997;	0.0010927734374999998;	0.99457861328125
2017-09-15 11:30:42:933;	0.02372795529394991;	-0.03899158953912991;	0.011796383846153245;	-0.001384277343749997;	0.0015810546874999998;	0.99726416015625
2017-09-15 11:30:42:991;	0.015598537964566433;	-0.04029832875838796;	0.01096075615384553;	-0.000651855468749997;	0.00011621093749999978;	1.00947119140625
2017-09-15 11:30:43:049;	-0.010861640093002231;	-0.04169340709104485;	0.009924820769230123;	-0.002116699218749997;	-0.00012792968750000022;	0.99531103515625
2017-09-15 11:30:43:110;	-0.008253443917613151;	-0.04794149287686373;	0.008488269999999333;	0.002277832031250003;	0.0013369140624999998;	1.00336767578125
2017-09-15 11:30:43:170;	-0.011548261582675853;	-0.04061672320927915;	0.00715187307692239;	-0.001140136718749997;	-0.0008603515625000002;	1.00263525390625
2017-09-15 11:30:43:228;	-0.01652478713318875;	-0.021548449227629767;	0.006716860769230062;	-0.006999511718749997;	-0.0015927734375000002;	0.99384619140625
2017-09-15 11:30:43:286;	-0.009080348976016513;	-0.011796289980824243;	0.0037780023076915805;	-0.001384277343749997;	0.00011621093749999978;	1.00092626953125
