2017-09-15 11:48:37:109;	-0.0001369826362274013;	0.027690607699447933;	0.056946339692308154;	-0.0016372070312499973;	-0.0008481445312499974;	0.99852001953125
2017-09-15 11:48:38:148;	-0.05056036041808695;	-0.00780048478096756;	0.06662295446153883;	0.0020249023437500027;	-0.0052426757812499974;	0.99705517578125
2017-09-15 11:48:39:206;	0.016283242092135268;	0.017451233668118633;	0.0933569990769233;	0.0012924804687500027;	0.0052553710937500026;	1.00267041015625
2017-09-15 11:48:40:250;	-0.003765296240797039;	-0.003203360055413996;	0.09213248261538469;	-0.006520019531249997;	0.0030581054687500026;	1.00120556640625
2017-09-15 11:48:41:256;	0.028871518667192307;	0.020465197563833387;	0.09266382138461526;	0.0005600585937500027;	-0.0015805664062499974;	1.00120556640625
2017-09-15 11:48:42:285;	-0.013719237218828291;	-0.028216706210829574;	0.1090507438461536;	-0.0013930664062499973;	0.0011049804687500026;	1.01145947265625
2017-09-15 11:48:43:308;	-0.04343712167448067;	-0.018003633390922025;	0.12143151246153785;	-0.0021254882812499973;	-0.00011572265624999745;	0.99876416015625
2017-09-15 11:48:44:341;	-0.008327715541967795;	-0.002108468031915123;	0.1299907969230761;	0.005442871093750003;	-0.0008481445312499974;	1.00657666015625
2017-09-15 11:48:45:351;	-0.017263981795434653;	-0.04657620029239896;	0.11426593661538362;	0.004710449218750003;	0.0025698242187500026;	1.00047314453125
2017-09-15 11:48:46:364;	-0.023619791172619024;	-0.012234237118632581;	0.1194639179999988;	-0.0018813476562499973;	0.0037905273437500026;	1.00267041015625
2017-09-15 11:48:47:403;	-0.0176776155823741;	-0.017470492705364313;	0.1421575464615371;	0.005198730468750003;	0.0035463867187500026;	1.00193798828125
2017-09-15 11:48:48:454;	-0.0218260503226421;	0.01403444609431564;	0.13497703907692127;	-0.0011489257812499973;	-0.0015805664062499974;	0.99607861328125
2017-09-15 11:48:49:463;	0.006693771932948688;	0.029039936368334327;	0.1353237081538441;	-0.0023696289062499973;	-0.00011572265624999745;	1.00169384765625
2017-09-15 11:48:50:498;	-0.011875035311662376;	0.015308091728103521;	0.13503185230768966;	0.0025131835937500027;	0.0033022460937500026;	0.99119580078125
2017-09-15 11:48:51:519;	-0.04008433824580419;	0.06471014272363798;	0.1321579603076896;	0.0020249023437500027;	-0.00035986328124999745;	1.00291455078125
2017-09-15 11:48:52:543;	-0.011278968191424604;	0.025792680297864096;	0.13220416784615086;	-0.0013930664062499973;	-0.0013364257812499974;	0.99729931640625
2017-09-15 11:48:53:553;	0.043128454291184753;	0.006787498075148452;	0.14176499076922758;	-0.0018813476562499973;	-0.0010922851562499974;	0.99217236328125
2017-09-15 11:48:54:595;	0.007856078043833564;	-0.00015641051479260313;	0.16746622092307337;	-0.0033461914062499973;	-0.0040219726562499974;	0.99510205078125
2017-09-15 11:48:55:620;	-0.02636365711105085;	0.04849672764459318;	0.18615668184614978;	-0.007008300781249997;	0.0013491210937500026;	1.00218212890625
2017-09-15 11:48:56:655;	-0.009990964345193289;	-0.04183699891505678;	0.1985530884615337;	0.0003159179687500027;	0.00012841796875000255;	0.99900830078125
